Ref,Val,Package,PosX,PosY,Rot,Side
"C610","10uF/16V","C_0603_1608Metric",140.589000,-156.718000,-90.000000,bottom
"C701","10uF/16V","C_0603_1608Metric",145.155015,-138.486138,-90.000000,bottom
"C703","10uF/16V","C_0603_1608Metric",126.746000,-139.319000,-90.000000,bottom
"C704","10uF/16V","C_0603_1608Metric",140.716000,-136.144000,-90.000000,bottom
"C705","10uF/16V","C_0603_1608Metric",128.016000,-130.429000,90.000000,bottom
"C706","10uF/16V","C_0603_1608Metric",125.857000,-135.763000,0.000000,bottom
"C801","10uF/16V","C_0603_1608Metric",136.779000,-137.541000,90.000000,bottom
"C802","10uF/16V","C_0603_1608Metric",136.652000,-114.808000,-90.000000,bottom
"C803","10uF/16V","C_0603_1608Metric",132.588000,-142.367000,-90.000000,bottom
"C804","10uF/16V","C_0603_1608Metric",138.303000,-137.541000,90.000000,bottom
"C1007","10uF/16V","C_0603_1608Metric",113.477000,-144.165000,0.000000,bottom
"C1008","10uF/16V","C_0603_1608Metric",113.477000,-150.769000,0.000000,bottom
"C1009","10uF/16V","C_0603_1608Metric",117.221000,-144.145000,0.000000,bottom
"C1010","10uF/16V","C_0603_1608Metric",117.221000,-150.749000,0.000000,bottom
"C1101","1nF_500V","C_0805_2012Metric",111.506000,-113.411000,-90.000000,bottom
"D1001","SK510A-LTP","D_SMA",110.109000,-145.034000,-90.000000,bottom
"F701","0805L010/24YR","Fuse_0805_2012Metric",143.256000,-138.684000,90.000000,bottom
"F702","0805L010/24YR","Fuse_0805_2012Metric",144.145000,-133.985000,0.000000,bottom
"F703","0805L010/24YR","Fuse_0805_2012Metric",144.145000,-128.397000,0.000000,bottom
"R501","75R_2W","R_1206_3216Metric",112.141000,-130.683000,0.000000,bottom
"R502","75R_2W","R_1206_3216Metric",112.141000,-132.969000,0.000000,bottom
"R503","75R_2W","R_1206_3216Metric",112.141000,-135.255000,0.000000,bottom
"R505","75R_2W","R_1206_3216Metric",112.141000,-139.827000,0.000000,bottom
"R508","75R_2W","R_1206_3216Metric",112.141000,-137.541000,0.000000,bottom
"R609","100R_1/8W","R_0805_2012Metric",145.288000,-151.638000,180.000000,bottom
"R703","680R_1/8W","R_0805_2012Metric",140.716000,-132.715000,90.000000,bottom
"R704","100R_1/20W","R_0201_0603Metric",128.016000,-133.858000,180.000000,bottom
"R705","100R_1/20W","R_0201_0603Metric",128.016000,-132.588000,0.000000,bottom
"R706","680R_1/8W","R_0805_2012Metric",140.716000,-129.286000,-90.000000,bottom
"R802","100R_1/10W","R_0402_1005Metric",139.192000,-116.840000,-90.000000,bottom
"R805","100R_1/20W","R_0201_0603Metric",136.652000,-127.254000,90.000000,bottom
"R807","100R_1/20W","R_0201_0603Metric",136.652000,-117.221000,-90.000000,bottom
"R1004","10KR_1/20W","R_0201_0603Metric",114.300000,-142.748000,0.000000,bottom
"R1101","1MR_1/2W","R_0805_2012Metric",109.474000,-113.411000,-90.000000,bottom
"RV1002","PTC_500mA","Fuse_0805_2012Metric",110.617000,-153.797000,90.000000,bottom
"U402","SN74LVC1G17DBVR","SOT-23-5",116.144000,-115.443000,180.000000,bottom
"U501","SN74LVC1G17DBVR","SOT-23-5",111.958500,-119.192000,0.000000,bottom
"U502","SN74LVC1G17DBVR","SOT-23-5",111.958500,-122.875000,0.000000,bottom
"U602","ISO7720FDR","SOIC-8_3.9x4.9mm_P1.27mm",138.049000,-152.019000,0.000000,bottom
"U604","DLPT05A-7","SOT-23",145.034000,-145.354000,0.000000,bottom
"U605","DLPT05A-7","SOT-23",145.034000,-148.844000,180.000000,bottom
"U702","SN74LVC1G17DBVR","SOT-23-5",129.286000,-138.684000,-90.000000,bottom
"U703","CDSOT23-SM712","SOT-23",143.891000,-131.064000,180.000000,bottom
"U704","MAX22028AWA+","SO-8_5.3x6.2mm_P1.27mm",134.366000,-131.953000,0.000000,bottom
"U705","SN74LVC1G17DBVR","SOT-23-5",124.149615,-138.740588,90.000000,bottom
"U801","PAM8003DR","SOP-16_3.9x9.9mm_P1.27mm",139.827000,-122.301000,90.000000,bottom
"U802","PCM1754DBQR","DBQ16",137.668000,-142.367000,0.000000,bottom
"U1002","TLV74033PDBVR","SOT-23-5",113.665000,-147.447000,-90.000000,bottom
"U1003","MCP73811T-420I/OT","SOT-23-5",113.665000,-153.924000,-90.000000,bottom
"U1004","TLV74033PDBVR","SOT-23-5",117.419000,-147.447000,-90.000000,bottom
"C301","1uF/6V3","C_0201_0603Metric",123.190000,-125.603000,90.000000,top
"C302","12pF/50V","C_0201_0603Metric",128.524000,-125.603000,90.000000,top
"C303","12pF/50V","C_0201_0603Metric",124.333000,-125.603000,90.000000,top
"C304","1uF/6V3","C_0201_0603Metric",131.445000,-125.603000,90.000000,top
"C305","100nF/6V3","C_0201_0603Metric",130.683000,-125.603000,90.000000,top
"C306","1uF/6V3","C_0201_0603Metric",120.777000,-125.603000,90.000000,top
"C307","100nF/6V3","C_0201_0603Metric",121.666000,-125.603000,90.000000,top
"C308","2u2F/6V3","C_0201_0603Metric",116.931000,-139.744527,180.000000,top
"C309","2u2F/6V3","C_0201_0603Metric",116.933481,-138.938000,180.000000,top
"C310","1uF/6V3","C_0201_0603Metric",116.967000,-131.572000,180.000000,top
"C311","100nF/6V3","C_0201_0603Metric",116.967000,-132.461000,180.000000,top
"C312","1uF/6V3","C_0201_0603Metric",116.931000,-141.351000,180.000000,top
"C313","100nF/6V3","C_0201_0603Metric",116.931000,-140.589000,180.000000,top
"C314","1uF/6V3","C_0201_0603Metric",127.762000,-144.435000,-90.000000,top
"C315","100nF/6V3","C_0201_0603Metric",128.524000,-144.435000,-90.000000,top
"C316","1uF/6V3","C_0201_0603Metric",132.207000,-125.603000,90.000000,top
"C317","100nF/6V3","C_0201_0603Metric",132.969000,-125.603000,90.000000,top
"C401","680pF_50V","C_0402_1005Metric",114.556000,-115.655000,0.000000,top
"C402","100nF/6V3","C_0201_0603Metric",128.651000,-152.527000,90.000000,top
"C403","100nF/6V3","C_0201_0603Metric",121.158000,-150.114000,180.000000,top
"C404","100nF/6V3","C_0201_0603Metric",116.840000,-114.681000,0.000000,top
"C501","2u2F/6V3","C_0201_0603Metric",115.443000,-119.253000,0.000000,top
"C502","100nF/6V3","C_0201_0603Metric",115.443000,-118.364000,0.000000,top
"C503","2u2F/6V3","C_0201_0603Metric",115.443000,-122.936000,0.000000,top
"C504","100nF/6V3","C_0201_0603Metric",115.443000,-122.047000,0.000000,top
"C601","2u2F/6V3","C_0201_0603Metric",134.112000,-118.745000,-90.000000,top
"C602","2u2F/6V3","C_0201_0603Metric",134.112000,-124.460000,-90.000000,top
"C603","2u2F/6V3","C_0201_0603Metric",134.112000,-130.175000,-90.000000,top
"C604","2u2F/6V3","C_0201_0603Metric",134.112000,-115.570000,-90.000000,top
"C605","2u2F/6V3","C_0201_0603Metric",134.112000,-137.414000,-90.000000,top
"C606","2u2F/6V3","C_0201_0603Metric",134.112000,-141.605000,-90.000000,top
"C607","2u2F/6V3","C_0201_0603Metric",134.112000,-147.320000,-90.000000,top
"C608","2u2F/6V3","C_0201_0603Metric",134.112000,-150.749000,90.000000,top
"C609","2u2F/6V3","C_0201_0603Metric",140.335000,-156.718000,0.000000,top
"C611","2u2F/6V3","C_0201_0603Metric",133.604000,-156.718000,0.000000,top
"C702","10uF/16V","C_0603_1608Metric",143.256000,-128.524000,90.000000,top
"C805","2u2F/6V3","C_0201_0603Metric",144.272000,-119.888000,0.000000,top
"C806","2u2F/6V3","C_0201_0603Metric",144.272000,-121.412000,0.000000,top
"C807","1uF/6V3","C_0201_0603Metric",144.272000,-122.936000,0.000000,top
"C808","2u2F/6V3","C_0201_0603Metric",144.272000,-124.460000,0.000000,top
"C901","1uF/6V3","C_0201_0603Metric",129.794000,-125.603000,90.000000,top
"C1001","680pF_50V","C_0402_1005Metric",110.998000,-142.875000,180.000000,top
"C1002","10uF/16V","C_0603_1608Metric",116.332000,-147.955000,90.000000,top
"C1003","10uF/16V","C_0603_1608Metric",116.332000,-144.907000,-90.000000,top
"C1004","10uF/16V","C_0603_1608Metric",117.898403,-144.519860,-90.000000,top
"C1005","1uF/6V3","C_0201_0603Metric",111.760000,-154.244000,-90.000000,top
"C1006","1uF/6V3","C_0201_0603Metric",119.761000,-156.464000,0.000000,top
"C1201","2u2F/6V3","C_0201_0603Metric",115.443000,-124.729000,0.000000,top
"C1202","100nF/6V3","C_0201_0603Metric",115.443000,-125.618000,0.000000,top
"C1301","2u2F/6V3","C_0201_0603Metric",114.041000,-129.189000,0.000000,top
"C1302","100nF/6V3","C_0201_0603Metric",114.041000,-130.078000,0.000000,top
"C1401","2u2F/6V3","C_0201_0603Metric",115.443000,-135.636000,0.000000,top
"C1402","100nF/6V3","C_0201_0603Metric",115.443000,-136.652000,0.000000,top
"D501","GG040205100N2P","D_0402_1005Metric",112.112000,-124.040000,0.000000,top
"D502","GG040205100N2P","D_0402_1005Metric",112.202000,-129.936000,0.000000,top
"D503","GG040205100N2P","D_0402_1005Metric",112.202000,-135.143000,0.000000,top
"D504","GG040205100N2P","D_0402_1005Metric",112.141000,-119.253000,0.000000,top
"D505","GG040205100N2P","D_0402_1005Metric",112.118022,-122.862923,0.000000,top
"D601","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.176000,-118.745000,0.000000,top
"D602","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.176000,-124.460000,0.000000,top
"D603","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.176000,-130.175000,0.000000,top
"D604","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.176000,-135.890000,0.000000,top
"D605","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.176000,-141.605000,0.000000,top
"D606","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.176000,-147.320000,0.000000,top
"D607","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.176000,-153.035000,0.000000,top
"D1002","GG040205100N2P","D_0402_1005Metric",119.380000,-143.972272,-90.000000,top
"D1003","GG040205100N2P","D_0402_1005Metric",110.744000,-154.051000,-90.000000,top
"F1001","0ZCK0100FF2E","Fuse_0805_2012Metric",118.872000,-148.463000,180.000000,top
"FD1101","~","Fiducial_0.5mm_Mask1mm",109.855000,-113.157000,0.000000,top
"FD1102","~","Fiducial_0.5mm_Mask1mm",141.986000,-159.258000,0.000000,top
"J1002","MICRO B USB_RA","USB_Micro-B_Amphenol_10118194_Horizontal",112.919000,-157.958000,0.000000,top
"L1001","2u2H_2A","L_0805_2012Metric",113.792000,-148.590000,180.000000,top
"LED301","RED","LED_0402_1005Metric",130.212000,-144.653000,-90.000000,top
"LED601","GREEN","LED_0402_1005Metric",145.669000,-151.003000,-90.000000,top
"LED701","GREEN","LED_0402_1005Metric",145.923000,-128.956000,-90.000000,top
"LED1001","GREEN","LED_0402_1005Metric",122.816678,-147.824089,-90.000000,top
"LED1002","AMBER","LED_0402_1005Metric",125.476000,-147.828000,-90.000000,top
"LED1003","AMBER","LED_0402_1005Metric",129.794000,-147.828000,-90.000000,top
"Q1001","SI4455DY-T1-GE3","SO-8_3.9x4.9mm_P1.27mm",116.332000,-152.400000,0.000000,top
"Q1002","RN1130MFV,L3F","SOT-723",111.125000,-151.638000,0.000000,top
"R301","10KR_1/20W","R_0201_0603Metric",122.428000,-126.238000,-90.000000,top
"R302","10KR_1/20W","R_0201_0603Metric",134.112000,-133.858000,-90.000000,top
"R303","49R9_1/20W","R_0201_0603Metric",124.333000,-127.127000,90.000000,top
"R304","100R_1/20W","R_0201_0603Metric",129.323000,-144.435000,-90.000000,top
"R401","330R_1/16W","R_0402_1005Metric",114.554000,-114.554000,0.000000,top
"R402","100R_1/10W","R_0402_1005Metric",116.586000,-115.697000,0.000000,top
"R403","4K7R_1/20W","R_0201_0603Metric",126.492000,-152.527000,90.000000,top
"R404","10KR_1/20W","R_0201_0603Metric",134.112000,-135.763000,-90.000000,top
"R504","10KR_1/20W","R_0201_0603Metric",116.967000,-134.112000,180.000000,top
"R506","49R9_1/20W","R_0201_0603Metric",115.443000,-120.142000,180.000000,top
"R507","10KR_1/20W","R_0201_0603Metric",116.967000,-129.794000,180.000000,top
"R509","49R9_1/20W","R_0201_0603Metric",115.443000,-123.825000,180.000000,top
"R601","100R_1/20W","R_0201_0603Metric",140.716000,-114.935000,-90.000000,top
"R602","100R_1/20W","R_0201_0603Metric",134.112000,-120.777000,-90.000000,top
"R603","100R_1/20W","R_0201_0603Metric",134.112000,-126.492000,-90.000000,top
"R604","10KR_1/20W","R_0201_0603Metric",134.112000,-113.284000,90.000000,top
"R605","100R_1/20W","R_0201_0603Metric",134.112000,-132.080000,-90.000000,top
"R606","100R_1/20W","R_0201_0603Metric",134.112000,-139.065000,-90.000000,top
"R607","100R_1/20W","R_0201_0603Metric",134.112000,-143.637000,-90.000000,top
"R608","100R_1/20W","R_0201_0603Metric",134.112000,-149.225000,-90.000000,top
"R610","100R_1/20W","R_0201_0603Metric",137.033000,-156.718000,0.000000,top
"R611","1KR_1/8W","R_0805_2012Metric",144.780000,-146.304000,0.000000,top
"R612","1KR_1/8W","R_0805_2012Metric",144.780000,-148.336000,0.000000,top
"R613","100R_1/20W","R_0201_0603Metric",132.461000,-150.749000,-90.000000,top
"R614","100R_1/20W","R_0201_0603Metric",131.826000,-156.723500,0.000000,top
"R615","470R_1/16W","R_0402_1005Metric",144.526000,-151.003000,-90.000000,top
"R701","470R_1/16W","R_0402_1005Metric",144.702000,-128.905000,-90.000000,top
"R702","10KR_1/20W","R_0201_0603Metric",126.746000,-144.435000,-90.000000,top
"R801","10KR_1/20W","R_0201_0603Metric",112.141000,-114.681000,0.000000,top
"R803","100R_1/20W","R_0201_0603Metric",120.396000,-144.435000,-90.000000,top
"R804","100R_1/20W","R_0201_0603Metric",121.285000,-144.435000,-90.000000,top
"R806","100R_1/20W","R_0201_0603Metric",122.174000,-144.435000,-90.000000,top
"R808","100R_1/20W","R_0201_0603Metric",131.191000,-144.399000,-90.000000,top
"R809","100R_1/20W","R_0201_0603Metric",133.223000,-144.399000,-90.000000,top
"R810","100R_1/20W","R_0201_0603Metric",132.207000,-144.399000,-90.000000,top
"R811","100R_1/20W","R_0201_0603Metric",116.967000,-135.636000,180.000000,top
"R812","4K7R_1/20W","R_0201_0603Metric",116.967000,-137.922000,180.000000,top
"R813","4K7R_1/20W","R_0201_0603Metric",132.207000,-146.492000,-90.000000,top
"R814","4K7R_1/20W","R_0201_0603Metric",133.219593,-146.492318,-90.000000,top
"R815","4K7R_1/20W","R_0201_0603Metric",131.194296,-146.499445,-90.000000,top
"R901","4K7R_1/20W","R_0201_0603Metric",123.190000,-144.435000,90.000000,top
"R902","4K7R_1/20W","R_0201_0603Metric",123.952000,-144.435000,90.000000,top
"R903","100R_1/20W","R_0201_0603Metric",125.222000,-144.435000,-90.000000,top
"R904","100R_1/20W","R_0201_0603Metric",125.984000,-144.435000,-90.000000,top
"R1001","4R7_1/4W","R_0805_2012Metric",110.998000,-145.161000,-90.000000,top
"R1002","4K7R_1/20W","R_0201_0603Metric",118.110000,-156.464000,180.000000,top
"R1003","470R_1/16W","R_0402_1005Metric",123.952000,-147.828000,-90.000000,top
"R1005","470R_1/16W","R_0402_1005Metric",126.619000,-147.828000,-90.000000,top
"R1006","100R_1/20W","R_0201_0603Metric",119.380000,-146.939000,180.000000,top
"R1007","10KR_1/20W","R_0201_0603Metric",117.983000,-146.939000,180.000000,top
"R1008","470R_1/16W","R_0402_1005Metric",128.651000,-147.828000,-90.000000,top
"R1201","47KR_1/20W","R_0201_0603Metric",113.604000,-128.285000,0.000000,top
"R1202","47KR_1/20W","R_0201_0603Metric",111.953000,-128.285000,0.000000,top
"R1203","10KR_1/20W","R_0201_0603Metric",115.443000,-126.873000,0.000000,top
"R1301","47KR_1/20W","R_0201_0603Metric",113.660000,-134.142000,0.000000,top
"R1302","47KR_1/20W","R_0201_0603Metric",112.009000,-134.142000,0.000000,top
"R1303","10KR_1/20W","R_0201_0603Metric",115.443000,-134.112000,0.000000,top
"R1401","47KR_1/20W","R_0201_0603Metric",113.548697,-139.368025,0.000000,top
"R1402","47KR_1/20W","R_0201_0603Metric",111.984000,-139.369509,0.000000,top
"R1403","10KR_1/20W","R_0201_0603Metric",115.443000,-137.922000,0.000000,top
"RV1001","PTC_500mA","Fuse_0805_2012Metric",113.792000,-142.367000,0.000000,top
"TXT1101","~","Mend0z0_Logo",123.062558,-134.308546,0.000000,top
"U301","STM32F446RCT6TR","LQFP-64_10x10mm_P0.5mm",125.476000,-135.890000,-90.000000,top
"U401","SN74LVC1G17DBVR","SOT-23-5",123.825000,-151.257000,90.000000,top
"U601","SN74LVC1G17DBVR","SOT-23-5",136.779000,-114.300000,180.000000,top
"U603","SN74LVC1G17DBVR","SOT-23-5",132.461000,-153.929500,-90.000000,top
"U1001","TPS613222ADBVR","SOT-23-5",113.792000,-145.542000,90.000000,top
"U1201","MIC920YC5-TR","SOT-353_SC-70-5",112.776000,-126.238000,0.000000,top
"U1301","MIC920YC5-TR","SOT-353_SC-70-5",112.837000,-132.095000,0.000000,top
"U1401","MIC920YC5-TR","SOT-353_SC-70-5",112.837000,-137.302000,0.000000,top
"X301","16MHz/10ppm","Crystal_SMD_2016-4Pin_2.0x1.6mm",126.492000,-126.492000,180.000000,top
